compound index,SMILES,PMID,animal type,gender,animal weight (g),injection dosage (μCi),logBB at60min,brain at60min,blood at60min,liver at60min,lung at60min,kidney at60min,muscle at60min,spleen at60min,intestine at60min,bone at60min,stomach at60min,uterus at60min,heart at60min,fat at60min,pancreas at60min,ref No,DOI
1571A-(11C)RTI-32,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(Cl)cc1)N2C,8868286,SD rat,male,250.0,621.69,0.79,0.31,0.14,1.25,0.44,,,,,,,,0.2,,,1571A,10.1016/0969-8051(95)02044-6
1571A-(18F)FECT,CN1C2CC[C@@H]1C[C@H](c1ccc(Cl)cc1)C2C(=O)OCCF,8868286,SD rat,male,250.0,243.27,2.72,0.61,0.04,6.22,1.01,,,,,0.16,,,0.18,,,1571A,10.1016/0969-8051(95)02044-6
1571A-(18F)FETT,Cc1ccc([C@H]2C[C@H]3CCC(C2C(=O)OCCF)N3C)cc1,8868286,SD rat,male,250.0,243.27,0.62,0.28,0.15,1.42,0.54,,,,,0.16,,,0.19,,,1571A,10.1016/0969-8051(95)02044-6
1574-18F-FEDPN,N#C[C@H](c1ccc(O)cc1)[C@@H](CCF)c1ccc(O)cc1,16190762,SD rat,,50.0,20.0,0.19,0.51,0.42,3.8,2.04,2.97,0.59,0.61,,4.13,,0.37,0.74,0.27,,1574,10.1021/jm050121f
1574-18F-FES,C[C@]12CCC3c4ccc(O)cc4CCC3C1C[C@@H](F)[C@@H]2O,16190762,SD rat,,50.0,20.0,-1.1,0.07,0.21,5.24,0.39,1.07,0.18,0.19,,0.24,,0.82,0.15,0.14,,1574,10.1021/jm050121f
1575A-1,COC1C[C@@]2(C)C(C[C@@H](F)[C@@H]2O)C2CCc3cc(O)ccc3C12,1701833,SD rat,female,55.0,50.0,,,0.13,2.3,0.14,1.22,0.14,,,0.08,,5.8,,0.44,,1575A,10.1021/jm00174a009
1575A-2,CCC1C[C@@]2(C)C(C[C@@H](F)[C@H]2O)C2CCc3cc(O)ccc3C12,1701833,SD rat,female,55.0,50.0,,,1.09,3.31,0.99,4.05,0.75,,,0.44,,12.59,,2.21,,1575A,10.1021/jm00174a009
1575A-3,C#C[C@]1(O)[C@H](F)CC2C3CCc4cc(O)ccc4C3CC[C@@]21C,1701833,SD rat,female,55.0,50.0,,,0.09,1.55,0.44,0.95,0.31,,,1.27,,11.15,,0.57,,1575A,10.1021/jm00174a009
1578B-18F-FEF,CCOC(=O)c1ncn2c1C(O)N(CCF)C(=O)c1cc(F)ccc1-2,11578902,Wistar rat,male,275.0,124.0,,,,,,,,,,,,,,,,1578B,10.1016/S0969-8051(01)00251-7
1582A-18F-FENP,CC[C@@H]1CC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@]2(F)[C@H]1C(=O)CF,3260285,SD rat,female,60.0,13.0,0.92,0.63,0.25,3.34,0.47,1.05,0.42,,,3.18,,6.43,,3.56,,1582A,10.1021/jm00402a019
1582D-18F-FENP,CC[C@@H]1CC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@]2(C)[C@H]1C(=O)CF,2004378,Wistar rat,female,88.0,100.0,0.88,0.36,0.15,1.59,0.32,0.55,0.29,,,1.14,,2.08,,1.37,,1582D,
1583A-18F2,NC(Cc1ccc(CCF)cc1)C(=O)O,21220129,Fischer rat,,,919.0,-0.22,0.52,0.65,0.63,0.61,0.63,0.62,0.69,,0.41,,,0.63,,2.45,1583A,10.1016/j.nucmedbio.2010.07.005
1588A-18FFE-SA4503,COc1cc(CCN2CCN(CCCc3ccccc3)CC2)ccc1OCCF,11835521,ddY mouse,male,28.0,5.41,0.92,2.01,0.8,7.38,2.43,3.35,0.62,3.46,3.8,5.29,,,0.93,,14.96,1588A,10.1002/syn.10045
1589B-11C-SA4503,COc1ccc(CCN2CCN(CCCc3ccccc3)CC2)cc1OC,5534066,rat,female,175.0,540.6,3.04,1.25,0.06,11.61,1.55,2.89,0.19,2.43,2.39,0.27,,,0.3,,5.04,1589B,
1589B-18F-FE-SA5845,COc1cc(CCN2CCN(CCCc3ccc(F)cc3)CC2)ccc1OCCF,5534066,rat,female,175.0,270.3,2.37,1.29,0.12,9.28,2.93,4.95,0.2,2.05,2.11,0.42,,,0.47,,4.23,1589B,
1590-18F-FESAHA,O=C(CCCCCCC(=O)Nc1ccc(CCF)cc1)NO,21718944,Nu/nu mouse,male,22.0,189.21,-0.76,0.7,1.5,4.9,2.4,5.0,1.4,1.7,11.94,11.1,1.5,,1.6,,,1590,10.1016/j.nucmedbio.2010.12.008
1592A-18FFET,NC(Cc1ccc(OCCF)cc1)C(=O)[O-],9935078,Nu/nu mouse,,22.0,14.73,-0.33,2.17,3.03,2.52,2.44,3.12,2.4,3.08,2.66,1.74,,,2.62,,18.24,1592A,
1592E-18F-FDG,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O,39234440,C57BL/6 mouse,female,21.0,89.2,2.26,4.11,0.43,1.43,2.66,0.84,3.39,1.72,1.78,3.18,3.0,,5.39,,1.38,1592E,10.1007/s11426-007-0023-y
1592E-18FFET,N[C@@H](Cc1ccc(OCCF)cc1)C(=O)O,39234440,C57BL/6 mouse,female,21.0,89.2,-0.14,0.88,1.01,3.72,19.76,1.37,0.95,1.9,0.84,5.77,1.08,,1.55,,5.03,1592E,10.1007/s11426-007-0023-y
1593-18FFETMP,COc1ccc([P+](CCOCCF)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,22575270,SD rat,male,255.0,1000.11,,,0.73,11.22,6.38,41.1,5.41,6.34,13.2,3.95,9.85,,29.88,,19.04,1593,10.1016/j.nucmedbio.2012.03.008
1594A-18FFETNIM,O=[N+]([O-])c1nccn1CC(O)C(O)CF,11535732,SD rat,female,248.0,229.76,-0.5,0.09,0.16,0.32,0.25,0.5,0.24,0.21,0.36,0.06,0.37,,0.25,0.04,0.19,1594A,
1594D-18FFETNIM,O=[N+]([O-])c1nccn1CC(O)C(O)CF,14722675,CDF1 mouse,female,28.0,79.74,,,,,,,,,,,,,,,,1594D,10.1007/s00259-003-1404-x
1594D-18FMISO,O=[N+]([O-])c1nccn1CC(O)CF,14722675,CDF1 mouse,female,28.0,79.74,,,,,,,,,,,,,,,,1594D,10.1007/s00259-003-1404-x
1597A-18FFEtP4A,CC(=O)OC1CCN(CCF)CC1,12031881,ddY mouse,,23.92,200.02,0.95,2.36,0.91,,,,,,,,,,,,,1597A,10.1016/S0969-8051(01)00315-8
1597A-18FFEtP4OH,OC1CCN(CCF)CC1,12031881,ddY mouse,,23.92,200.02,0.16,0.32,0.27,,,,,,,,,,,,,1597A,10.1016/S0969-8051(01)00315-8
1599-18FFluorodeoxyadenosine,Nc1ncnc2c1ncn2C1O[C@@H](CO)[C@H](O)[C@H]1F,8699341,Fischer rat,female,162.0,5000.0,,,0.52,4.96,0.62,1.73,0.29,0.48,,7.66,,,,,,1599,10.1021/js950402i
1599-18FFluoroethyluracil,O=c1[nH]cc(CCF)c(=O)[nH]1,8699341,Fischer rat,female,162.0,5000.0,,,0.28,0.58,0.33,0.59,0.34,0.3,,0.48,,0.41,,,,1599,10.1021/js950402i
1601A-3H-FFAU,O=c1[nH]c(=O)n(C2OC(CO)C(O)C2F)cc1F,15585483,nude mouse,,21.65,1.0,,,,,,,,,,,,,,,,1601A,
1602B-18F1a,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1CCCF,19181266,Nu/nu mouse,male,,20.0,,,,,,,,,,,,,,,,1602B,10.1016/j.nucmedbio.2008.10.009
1602B-18F1b,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1CCCCF,19181266,Nu/nu mouse,male,,20.0,,,,,,,,,,,,,,,,1602B,10.1016/j.nucmedbio.2008.10.009
1602B-18F1c,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1CCCCCF,19181266,Nu/nu mouse,male,,20.0,,,,,,,,,,,,,,,,1602B,10.1016/j.nucmedbio.2008.10.009
1602B-18F1d,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)cc1CCCF,19181266,Nu/nu mouse,male,,20.0,,,,,,,,,,,,,,,,1602B,10.1016/j.nucmedbio.2008.10.009
1602B-18F1e,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)cc1CCCCF,19181266,Nu/nu mouse,male,,20.0,,,,,,,,,,,,,,,,1602B,10.1016/j.nucmedbio.2008.10.009
1602B-18F1f,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)cc1CCCCCF,19181266,Nu/nu mouse,male,,20.0,,,,,,,,,,,,,,,,1602B,10.1016/j.nucmedbio.2008.10.009
1602B-I25IFIAUb,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)cc1I,19181266,Nu/nu mouse,male,,5.0,,,,,,,,,,,,,,,,1602B,10.1016/j.nucmedbio.2008.10.009
1604C-18FFFMZ,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,15013496,SD rat,male,254.0,58.11,-0.22,0.41,0.51,0.33,0.38,0.41,0.29,0.35,0.46,0.36,,,0.4,0.1,0.3,1604C,10.1016/j.nucmedbio.2003.09.003
1604D-18FFMZ,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,15820761,ICR mouse,male,36.0,10.0,-0.45,2.1,3.3,2.4,2.6,2.3,1.9,2.3,5.7,3.6,2.5,,2.8,1.6,,1604D,10.1016/j.nucmedbio.2004.12.004
1606B-125IFIAU,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)cc1I,19181266,Nu/nu mouse,male,,5.0,,,,,,,,,,,,,,,,1606B,10.1016/j.nucmedbio.2008.10.009
1606B-18F1a,O=c1[nH]c(=O)n([C@H]2C[C@@H](O)[C@@H](CO)O2)cc1CCCF,19181266,Nu/nu mouse,male,,20.0,,,,,,,,,,,,,,,,1606B,10.1016/j.nucmedbio.2008.10.009
1606B-18F1b,O=c1[nH]c(=O)n([C@H]2C[C@@H](O)[C@@H](CO)O2)cc1CCCCF,19181266,Nu/nu mouse,male,,20.0,,,,,,,,,,,,,,,,1606B,10.1016/j.nucmedbio.2008.10.009
1606B-18F1c,O=c1[nH]c(=O)n([C@H]2C[C@@H](O)[C@@H](CO)O2)cc1CCCCCF,19181266,Nu/nu mouse,male,,20.0,,,,,,,,,,,,,,,,1606B,10.1016/j.nucmedbio.2008.10.009
1606B-18F1d,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@H](O)C2F)cc1CCCF,19181266,Nu/nu mouse,male,,20.0,,,,,,,,,,,,,,,,1606B,10.1016/j.nucmedbio.2008.10.009
1606B-18F1e,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@H](O)C2F)cc1CCCCF,19181266,Nu/nu mouse,male,,20.0,,,,,,,,,,,,,,,,1606B,10.1016/j.nucmedbio.2008.10.009
1606B-18F1f,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@H](O)C2F)cc1CCCCCF,19181266,Nu/nu mouse,male,,20.0,,,,,,,,,,,,,,,,1606B,10.1016/j.nucmedbio.2008.10.009
1610-18FFHBG,Nc1nc2c(ncn2CCC(CO)CF)c(=O)[nH]1,23342302,NMRI mouse,female,24.0,270.0,-2.43,0.0,0.03,0.06,0.04,0.39,0.04,0.09,1.77,0.05,0.03,,0.03,,0.06,1610,
1610-18FFHOMP,Cc1c(COC(CO)CF)[nH]c(=O)[nH]c1=O,23342302,NMRI mouse,female,24.0,270.0,-0.48,0.1,0.16,0.16,0.13,0.33,0.13,0.11,0.71,0.19,0.12,,0.14,,0.1,1610,
1613-18F-FEAU,CCc1cn(C2OC(CO)C(O)C2F)c(=O)[nH]c1=O,21982570,FVB/N mouse,,,50.0,,,0.98,0.95,0.58,1.96,0.97,0.86,0.68,0.59,0.58,,0.83,,0.79,1613,10.1016/j.nucmedbio.2011.04.003
1613-18F-FIAC,NC1NC(=O)N(C2OC(CO)C(O)C2F)C=C1I,21982570,FVB/N mouse,,,50.0,,,4.12,4.65,1.98,9.17,3.23,5.54,3.64,1.47,2.56,,4.36,,3.85,1613,10.1016/j.nucmedbio.2011.04.003
1613-18F-FIAU,O=c1[nH]c(=O)n(C2OC(CO)C(O)C2F)cc1I,21982570,FVB/N mouse,,,50.0,,,4.22,4.43,1.87,9.2,3.02,3.2,3.35,1.56,2.46,,3.4,,4.95,1613,10.1016/j.nucmedbio.2011.04.003
1614-18F3,O=C1/C(=C/c2ccc(OCCF)cc2)Oc2ccc(I)cc21,21920750,ddY mouse,,24.0,0.3,-0.4,1.75,2.61,10.96,,5.22,,2.37,15.74,3.42,0.89,,1.19,,1.35,1614,10.1016/j.bmcl.2011.08.063
1619A-18F-NCFHEB,CC1CC23NC2C(c2ccc(F)nc2)CC13,17728108,NMRI mouse,,28.0,8.11,0.6,1.41,0.77,2.12,0.82,2.7,0.56,1.19,1.94,0.33,1.64,,0.55,,1.02,1619A,10.1016/j.euroneuro.2007.07.002
1620A-18F-fluoroisonicotinic,NNC(=O)c1ccnc(F)c1,12453591,CBA mouse,female,28.0,20.0,-0.54,0.18,0.31,4.42,0.65,0.6,0.18,,,0.39,,,0.25,,,1620A,10.1016/S0969-8051(02)00340-2
1620B-2-18F,NNC(=O)c1ccnc(F)c1,15110348,CBA mouse,,22.0,20.0,,,0.45,0.68,1.19,2.09,,,,,,,0.45,,,1620B,10.1016/j.apradiso.2004.01.009
1623-11C-CGP-12388,CC(C)NCC(O)COc1cccc2c1=NC(=O)N=2,9371248,Wistar rat,male,200.0,27.03,-0.45,0.07,0.11,0.8,10.3,1.28,0.44,3.11,0.79,0.32,,,2.71,0.28,,1623,10.1021/jm970267h
1623-18F-CGP-12388,CC(CF)NC[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,9371248,Wistar rat,male,200.0,54.06,-0.64,0.13,0.25,0.52,3.66,0.91,0.48,1.26,0.79,0.42,,,1.09,0.14,,1623,10.1021/jm970267h
1624-18F3,Nc1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)NC(Cc4cn(C5OC(CO)C(O)C(O)C5F)nn4)C(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1,22372827,CD-1 mouse,female,,135.15,0.29,0.59,0.44,9.49,0.92,42.94,0.69,0.73,3.45,0.87,1.42,,1.15,,,1624,10.1021/bc200660z
1631A-R-18F Fluorocarazol,CC(CF)NC[C@H](O)COc1cccc2[nH]c3ccccc3c12,7932549,CF-1 mouse,male,28.0,1500.0,-0.13,0.37,0.42,2.56,2.39,2.63,,,,1.08,,,0.56,,,1631A,10.1021/jm00046a005
1631A-S-18F Fluorocarazol,O[C@H](CNCCF)COc1cccc2[nH]c3ccccc3c12,7932549,CF-1 mouse,male,28.0,1500.0,0.3,0.81,0.6,1.32,5.34,1.39,,,,0.72,,,0.61,,,1631A,10.1021/jm00046a005
1632B-18Fclofilium,CC[N+](CC)(CCCCCCCF)CCCCc1ccc(Cl)cc1,16155403,BALB/c mouse,female,30.0,48.65,-0.92,0.02,0.05,1.09,0.98,5.36,0.26,0.46,4.03,1.37,0.34,,2.38,,,1632B,10.1038/emm.2005.36
1633A-18F-FETA,O=C(Cn1ccnc1[N+](=O)[O-])NCCF,10452326,C3H mouse,male,24.0,72.0,,,,,,,,,,,,,,,,1633A,
1633A-18F-FMISO,O=[N+]([O-])c1nccn1CC(O)CF,10452326,C3H mouse,male,24.0,72.0,,,,,,,,,,,,,,,,1633A,
1639-18F6,CCC(=O)N(c1ccccc1)C1CCN(CC(O)c2ccc(F)cc2)CC1,,mouse,male,,150.0,-0.78,0.23,0.5,2.0,1.1,2.6,0.53,0.9,2.1,,,,0.5,,,1639,10.1002/jlcr.2580230306
1640-11CCaf,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCc2ccccc2)CC1,21544226,BALB/c mouse,male,22.0,94.6,,1.41,,,,,,,,,,,,,,1640A,10.7150/thno/v01p0220
1640-18F1,CCC(=O)N(c1ccccc1)C1(C(=O)OCF)CCN(CCc2ccccc2)CC1,21544226,BALB/c mouse,male,22.0,94.6,,0.33,,,,,,,,,,,,,,1640A,10.7150/thno/v01p0220
1640-18F2,CCC(=O)N(c1ccccc1)C1(C(=O)OCCF)CCN(CCc2ccccc2)CC1,21544226,BALB/c mouse,male,22.0,94.6,,1.11,,,,,,,,,,,,,,1640A,10.7150/thno/v01p0220
1640-18F3,CCC(=O)N(c1ccccc1)C1CCN(CCCCCF)CC1,21544226,BALB/c mouse,male,22.0,94.6,,0.95,,,,,,,,,,,,,,1640A,10.7150/thno/v01p0220
1640-18F4,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCCCCF)CC1,21544226,BALB/c mouse,male,22.0,94.6,,1.27,,,,,,,,,,,,,,1640A,10.7150/thno/v01p0220
1640-18F5,CC(F)C(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,21544226,BALB/c mouse,male,22.0,94.6,,1.07,,,,,,,,,,,,,,1640A,10.7150/thno/v01p0220
1640-18F6,COCC1(N(C(=O)C(C)F)c2ccccc2)CCN(CCc2cccs2)CC1,21544226,BALB/c mouse,male,22.0,94.6,,1.38,,,,,,,,,,,,,,1640A,10.7150/thno/v01p0220
1641-18F9a,N[C@](CF)(Cc1ccccc1)C(=O)O,23528560,BALB/c mouse,male,22.0,24.87,-1.13,0.09,0.28,0.29,0.29,1.11,0.52,0.28,,0.44,,,0.3,0.17,1.64,1641,10.1016/j.nucmedbio.2012.12.013
1641-18F9b,N[C@@](CF)(Cc1ccccc1)C(=O)O,23528560,BALB/c mouse,male,22.0,24.87,-1.32,0.04,0.15,0.17,0.13,0.55,0.34,0.17,,0.3,,,0.27,0.09,0.23,1641,10.1016/j.nucmedbio.2012.12.013
1643-R-Fluoropropranolol,CC(CF)NC[C@@H](O)COc1cccc2ccccc12,10708302,SD rat,male,158.0,25.0,0.25,0.18,0.14,0.95,0.61,1.0,0.1,,,0.43,,,0.11,,,1643,10.1016/s0969-8051(99)00068-2
1643-S-Fluoropropranolol,CC(CF)NC[C@H](O)COc1cccc2ccccc12,10708302,SD rat,male,158.0,25.0,1.21,0.5,0.15,0.51,1.32,1.06,0.17,,,0.48,,,0.19,,,1643,10.1016/s0969-8051(99)00068-2
1644-11CYM-09151-2,CNc1cc(OC)c(C(=O)NC2CCN(Cc3ccccc3)C2C)cc1Cl,2163373,Wistar rat,male,220.0,,,0.7,,,,,,,,,,,,,,1644,10.1016/0883-2889(90)90038-I
1644-18F10b,COc1cc(NCCF)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)C1C,2163373,Wistar rat,male,220.0,,,0.31,,,,,,,,,,,,,,1644,10.1016/0883-2889(90)90038-I
1644-18F11b,COc1cc(NCCCF)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)C1C,2163373,Wistar rat,male,220.0,,,0.17,,,,,,,,,,,,,,1644,10.1016/0883-2889(90)90038-I
1645-18F-fluoroproxyfan,Fc1ccc(COCCCc2c[nH]cn2)cc1,17998102,Wistar rat,male,150.0,42.71,0.46,0.74,0.47,5.65,65.25,6.88,1.47,1.38,3.89,0.71,,,2.89,,1.0,1645,10.1016/j.nucmedbio.2007.07.012
1650D-18F-BMS-747158-02,CC(C)(C)n1ncc(OCc2ccc(COCCF)cc2)c(Cl)c1=O,18344426,Wistar rat,male,275.0,179.75,1.35,0.58,0.15,0.38,0.21,0.62,0.2,0.15,0.29,0.2,0.38,,2.06,,0.36,1650D,10.2967/jnumed.107.044727
1651A-18F-fluspidine,FCCC1OC2(CCN(Cc3ccccc3)CC2)c2ccccc21,21072511,CD-1 mouse,female,22.0,5.4,2.65,3.83,0.27,2.41,10.3,6.88,1.47,5.27,9.38,1.81,2.38,,4.56,,9.18,1651A,10.1007/s00259-010-1658-z
1653-L-18F-FMA,N[C@H](CCF)C(=O)O,22542392,Fischer rat,male,190.0,24.98,-0.43,0.13,0.2,1.21,0.26,0.94,0.18,0.26,,1.7,,,0.16,,0.21,1653,10.1016/j.nucmedbio.2012.03.007
1655A-anti-18F-FMACBC,N[C@]1(C(=O)O)C[C@@H](CF)C1,12014963,Fischer rat,male,225.0,85.0,-0.28,0.25,0.33,0.47,0.41,0.66,0.61,0.48,,0.29,,,0.63,,3.83,1655A,10.1021/jm010242p
1655A-syn-18F-FMACBC,N[C@]1(C(=O)O)C[C@H](CF)C1,12014963,Fischer rat,male,225.0,85.0,-0.37,0.22,0.32,0.4,0.46,0.45,0.61,0.54,,0.31,,,0.64,,3.13,1655A,10.1021/jm010242p
1655C-R-18F-AFETP,N[C@H](Cc1cn(CCF)nn1)C(=O)O,21793016,Fischer rat,,,,-1.95,0.02,0.14,0.48,0.37,2.39,0.05,0.35,0.11,0.08,,,0.08,0.02,0.43,1655C,10.1002/med.20250
1655C-S-18F-AFETP,N[C@@H](Cc1cn(CCF)nn1)C(=O)O,21793016,Fischer rat,,,,-1.53,0.05,0.23,0.32,0.56,4.79,0.16,0.31,0.26,0.23,,,0.3,0.04,1.12,1655C,10.1002/med.20250
1658C-18F-FME-MCN,FCSc1ccc([C@@H]2CN3CCC[C@@H]3c3ccccc32)cc1,12422372,SD rat,,345.0,2465.0,,,0.1,0.76,0.81,0.49,0.1,0.7,0.56,0.24,0.21,,0.28,0.22,0.29,1658C,10.1002/syn.10150
1659B-18F-FP-TZTP,CN1CCC=C(c2nsnc2SCCCF)C1,10069517,rat,,,,1.29,0.46,0.13,,0.37,,,,,0.5,,,0.17,,,1659B,10.1016/S0024-3205(98)00595-5
1661B-18FFMNP,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@H]1C(=O)CF,1884369,Wistar rat,female,237.0,351.39,0.22,0.25,0.2,1.47,0.29,0.52,0.21,,,1.72,,1.36,,0.89,,1661B,10.1016/0304-3835(91)90176-i
1663A-F18-a-Methyl Tyrosine,CC([NH3+])(Cc1ccc(F)cc1)C(=O)O,9544678,BALB/c mouse,female,20.0,9.99,0.03,1.08,1.05,1.14,1.06,17.07,1.59,1.81,1.43,0.69,1.81,,1.08,,15.2,1663A,
1667-18FFDG,OCC1CC(O)C(F)C(O)C1O,19616943,Kunming mouse,female,20.0,8.24,2.95,2.11,0.11,0.22,0.57,0.54,0.97,0.83,,,,,3.24,,,1667,10.1016/j.bmcl.2009.03.027
1667-18FFNBMBA,CC(C)[C@H](NC(=O)c1ccc([N+](=O)[O-])cc1F)C(=O)O,19616943,Kunming mouse,female,20.0,8.24,-1.61,0.03,0.15,0.77,1.14,0.45,0.15,0.24,,2.47,,,0.11,,,1667,10.1016/j.bmcl.2009.03.027
1667-18FMFNBMB,COC(=O)[C@@H](NC(=O)c1ccc([N+](=O)[O-])cc1F)C(C)C,19616943,Kunming mouse,female,20.0,8.24,-0.5,0.17,0.28,0.27,0.31,0.35,0.69,0.31,,2.09,,,0.19,,,1667,10.1016/j.bmcl.2009.03.027
1667-L-18FFET,NC(Cc1ccc(OCCF)cc1)C(=O)O,19616943,Kunming mouse,female,20.0,8.24,-0.98,0.94,2.51,3.56,4.7,3.75,2.37,3.37,,,,,3.14,,,1667,10.1016/j.bmcl.2009.03.027
1670-18FON,O=[N+]([O-])c1nccn1CCCCCCCCF,10408232,Wistar rat,male,215.0,13.52,-0.4,0.13,0.19,0.57,,0.56,,,,1.34,,,0.17,,,1670,10.1248/bpb.22.590
1670-18FPN,O=[N+]([O-])c1nccn1CCCF,10408232,Wistar rat,male,215.0,13.52,-0.56,0.09,0.15,1.25,,0.62,,,,0.18,,,0.15,,,1670,10.1248/bpb.22.590
1670-FMISO,O=[N+]([O-])c1nccn1CC(O)CF,10408232,Wistar rat,male,215.0,13.52,-0.02,0.37,0.38,0.73,,0.64,,,,0.11,,,0.41,,,1670,10.1248/bpb.22.590
1671-18FFOP,O=C(O)COCCCCCCCCCCCCF,11038005,SD rat,female,202.0,30.0,-1.71,0.01,0.07,0.98,0.04,0.07,0.02,,,0.28,,,0.03,,,1671,
1672C-18F-b-CFT-FP,COC(=O)C1C(c2ccc(F)cc2)CC2CCC1N2CCCF,18312827,SD rat,male,329.0,729.81,-0.5,0.12,0.19,0.25,0.14,0.49,0.1,0.18,0.36,1.12,0.1,,0.09,0.28,0.2,1672C,10.1016/j.nucmedbio.2007.09.006
1674A-125I6,COc1cc(/C=C/C(=O)/C=C(/C)O)cc(I)c1O,17004725,ICR mouse,male,28.0,20.0,-2.86,0.05,0.87,2.85,0.57,2.34,0.26,1.81,,,,,0.31,,,1674A,10.1021/jm0607193
1674A-18F8,COc1cc(/C=C/C(O)=C/C(=O)/C=C/c2ccc(OCCCF)c(OC)c2)ccc1O,17004725,ICR mouse,male,28.0,50.0,-1.71,0.11,0.61,37.06,10.55,2.07,0.27,36.05,,3.43,,,0.64,,,1674A,10.1021/jm0607193
1675C-18F-FP-DTBZ,COc1cc2c(cc1OCCCF)CCN1C[C@@H](CC(C)C)[C@H](O)C[C@H]21,18552132,SD rat,male,285.0,15.14,0.92,0.45,0.18,2.47,0.54,0.84,0.13,0.83,,,,,0.3,,4.98,1675C,10.2967/jnumed.108.051680
1675D-18FAV-133,COc1cc2c(cc1OCCCF)CCN1C[C@@H](CC(C)C)[C@H](O)C[C@H]21,20152712,ICR mouse,male,24.0,0.02,,,,,,,,,,,,,,,,1675D,10.1016/j.nucmedbio.2009.10.005
1679B-18F-1,CN(C)Cc1cc(OCCCF)ccc1Sc1ccccc1N,18482682,SD rat,,,70.0,,0.83,,,,,,,,,,,,,,1679B,10.1016/j.nucmedbio.2008.02.009
1681-18F-FPCT,COC(=O)C1C(c2ccc(O)cc2)CC2CCC1N2CCCF,8998165,SD rat,male,275.0,25.0,0.79,0.31,0.14,,,,,,,1.33,,,,,,1681,
1683-18F-FPDA,CCN(CC)CCNC(=O)C(C)F,23927458,C57BL/6 mouse,female,,100.01,1.26,1.87,0.53,1.39,1.45,4.5,1.25,1.68,1.89,1.57,4.45,,0.84,,1.56,1683,10.1021/mp400225s
1686A-18F17,CN(C)c1ccc(-c2cc3cc(OCCOCCOCCF)ccc3o2)cc1,24900214,ddY mouse,male,23.0,7.5,-0.2,2.8,3.41,,,,,,,2.74,,,,,,1686A,10.1021/ml100082x
1696B-FPP,N[C@@H](Cc1ccc(CCCF)cc1)C(=O)O,2254090,Cophenhagen rat,male,262.0,0.5,,,0.14,0.61,0.68,1.01,0.28,0.61,1.19,1.01,0.25,,,,,1696B,10.1016/0883-2897(90)90128-N
1697A-18F2,N[C@@H](Cc1ccc(CCF)cc1)C(=O)O,21220129,Fischer rat,,,905.5,-0.22,0.52,0.65,0.63,0.61,0.63,0.62,0.69,,0.41,,,0.63,,2.45,1697A,10.1016/j.nucmedbio.2010.07.005
1698-18F5FPPDB,CN(C)c1ccc(/N=N/c2nc3ccc(OCCOCCOF)cc3s2)cc1,24900371,ddY mouse,,27.0,1.7,-0.06,2.53,2.68,9.32,3.59,4.0,,2.14,22.9,1.92,3.37,,2.62,,2.18,1698,10.1021/ml200230e
1699-18FFPPT,Oc1ccc(-c2nn(-c3ccc(O)cc3)c(-c3ccc(O)cc3)c2CCCF)cc1,12767397,rat,female,50.0,25.0,,,0.15,6.57,,0.62,0.16,,,0.06,,0.17,,,,1699,10.1016/S0969-8051(02)00446-8
1703A-18F1,N#Cc1ccc(OCC2CCN(CCCF)CC2)cc1,9089705,Wistar rat,male,400.0,,3.87,12.44,0.26,18.52,11.95,1.64,2.66,,7.73,4.4,,,,,,1703A,10.1016/s0969-8051(96)00184-9
